Lang, Overall Accuracy, Overall F1 Score, Train Percent, Total, Max Accuracy, Max F1 Score, SVM (linear) Accuracy, SVM (linear) F1 Score, SVM (RBF) Accuracy, SVM (RBF) F1 Score, Naive Bayes Accuracy, Naive Bayes F1 Score
M,0.75,0.72,24,147,0.69,0.63,0.68,0.59,0.66,0.58,0.60,0.61
M,0.75,0.72,28,147,0.73,0.67,0.71,0.64,0.65,0.51,0.55,0.54
M,0.75,0.72,32,147,0.69,0.61,0.65,0.56,0.64,0.49,0.58,0.60
M,0.75,0.72,36,147,0.70,0.64,0.67,0.61,0.62,0.48,0.68,0.65
M,0.75,0.72,40,147,0.75,0.72,0.62,0.60,0.71,0.61,0.65,0.68
M,0.75,0.72,44,147,0.70,0.70,0.64,0.55,0.61,0.47,0.67,0.69
M,0.75,0.72,48,147,0.73,0.69,0.68,0.59,0.65,0.52,0.67,0.67
H,0.62,0.61,4,1832,0.54,0.54,0.48,0.43,0.45,0.28,0.46,0.46
H,0.62,0.61,8,1832,0.55,0.54,0.50,0.47,0.39,0.22,0.50,0.49
H,0.62,0.61,12,1832,0.57,0.56,0.53,0.53,0.45,0.38,0.56,0.55
H,0.62,0.61,16,1832,0.58,0.58,0.57,0.56,0.46,0.33,0.57,0.56
H,0.62,0.61,20,1832,0.59,0.59,0.55,0.55,0.45,0.39,0.57,0.56
H,0.62,0.61,24,1832,0.59,0.58,0.57,0.57,0.46,0.31,0.56,0.55
H,0.62,0.61,28,1832,0.59,0.59,0.58,0.57,0.47,0.31,0.58,0.56
H,0.62,0.61,32,1832,0.61,0.61,0.55,0.55,0.47,0.39,0.58,0.57
H,0.62,0.61,36,1832,0.62,0.61,0.60,0.60,0.47,0.31,0.57,0.57
H,0.62,0.61,40,1832,0.61,0.61,0.60,0.60,0.48,0.33,0.59,0.59
H,0.62,0.61,44,1832,0.61,0.61,0.58,0.57,0.45,0.28,0.57,0.57
H,0.62,0.61,48,1832,0.62,0.61,0.60,0.60,0.47,0.31,0.60,0.60
M,0.75,0.72,4,147,0.71,0.65,0.64,0.60,0.68,0.59,0.65,0.51
M,0.75,0.72,8,147,0.67,0.57,0.41,0.44,0.23,0.12,0.37,0.36
M,0.75,0.72,12,147,0.67,0.57,0.62,0.53,0.65,0.51,0.48,0.47
M,0.75,0.72,16,147,0.68,0.58,0.63,0.60,0.68,0.58,0.44,0.48
M,0.75,0.72,20,147,0.69,0.59,0.66,0.59,0.66,0.52,0.46,0.46
